cuenta_id,fecha,transaccion,monto,descripcion
102,2024-06-26,retiro,-100,Ingreso navideño
101,07/03/2024,deposito,3000,
111,06-10-2024,deposito,1500,Retiro parcial
112,07-08-2024,retiro,3000,
112,2024/09/06,deposito,0,Compra en tienda
118,03-10-2024,deposito,3000,Ingreso mensual
118,2024-05-12,pago,-500,
116,14/11/2024,deposito,3000,
110,07/03/2024,retiro,-100,Retiro parcial
116,28-04-2024,deposito,1000,Ingreso navideño
116,12-10-2024,deposito,-100,Ingreso extra
118,07/04/2024,deposito,1000,Compra en tienda
118,19-01-2024,retiro,1000,
111,07-07-2024,deposito,2500,Retiro parcial
118,2024-07-14,deposito,3000,Ingreso navideño
117,2024-09-04,retiro,5000,
102,09-08-2024,compra,3000,Ingreso navideño
118,06-01-2024,compra,3000,Compra en tienda
120,18-11-2024,retiro,2000,Ingreso extra
108,21/06/2024,retiro,2500,
105,04/07/2024,deposito,1000,
101,2024-08-01,retiro,2000,Ingreso extra
110,05/08/2024,deposito,1000,
107,2024-04-03,retiro,-500,
104,2024/08/29,retiro,2500,Ingreso mensual
108,2024/11/17,deposito,-100,Ingreso mensual
103,2024/05/08,compra,1000,Ingreso mensual
102,13-03-2024,compra,-100,Ingreso extra
102,2024/10/11,retiro,1500,Ingreso mensual
101,2024/04/20,compra,-100,Ingreso navideño
114,2024/04/13,compra,-100,Ingreso extra
105,2024/03/11,retiro,,Ingreso navideño
105,14/02/2024,retiro,-100,Ingreso navideño
112,2024-09-27,deposito,2000,
119,16-02-2024,deposito,-500,Retiro parcial
101,2024-04-08,retiro,-100,
118,01/08/2024,deposito,2500,
108,2024-04-17,compra,2000,Retiro parcial
106,15/03/2024,compra,2500,Ingreso extra
105,12/01/2024,retiro,1500,Ingreso extra
102,03-04-2024,retiro,3000,Ingreso mensual
106,11-12-2024,deposito,-100,
112,2024/10/16,retiro,-100,Ingreso navideño
106,22-02-2024,compra,1500,Ingreso extra
120,06-08-2024,deposito,-500,Retiro parcial
105,30/11/2024,deposito,-500,Ingreso navideño
103,04-09-2024,deposito,-500,Ingreso navideño
115,26/07/2024,compra,-500,Retiro parcial
104,01/10/2024,pago,-500,Retiro parcial
109,18-03-2024,compra,-500,Ingreso extra
118,12/09/2024,compra,-100,Retiro parcial
111,05/08/2024,retiro,-100,Compra en tienda
103,26-10-2024,compra,2000,Ingreso mensual
109,17-02-2024,deposito,1000,Ingreso navideño
114,2024-08-10,deposito,-500,Retiro parcial
109,2024-09-03,retiro,,Ingreso navideño
115,2024/09/14,compra,-100,Ingreso mensual
114,2024-02-19,retiro,1000,Ingreso navideño
104,2024-04-02,retiro,-100,Ingreso mensual
106,07-12-2024,retiro,2500,Ingreso navideño
108,29-01-2024,retiro,3000,Ingreso navideño
101,17/01/2024,retiro,-100,Compra en tienda
116,2024/05/25,deposito,3000,Ingreso mensual
118,11/01/2024,retiro,,
110,24/12/2024,retiro,3000,Retiro parcial
102,2024-10-10,retiro,-100,Ingreso navideño
106,2024-07-12,deposito,-100,Retiro parcial
114,2024-03-26,deposito,2000,Ingreso navideño
105,2024-06-07,deposito,2000,Ingreso mensual
120,27-02-2024,retiro,5000,
119,2024/07/25,retiro,2500,Ingreso navideño
114,2024/09/16,compra,,Ingreso extra
106,31/08/2024,compra,-100,Ingreso navideño
103,25-06-2024,deposito,1500,
112,01/12/2024,compra,2000,Ingreso extra
106,10/04/2024,deposito,-500,
109,11-05-2024,retiro,3000,Compra en tienda
114,22/12/2024,depósito,1500,Ingreso mensual
105,09/12/2024,retiro,1500,Ingreso navideño
109,20/07/2024,deposito,1500,Ingreso navideño
109,11-11-2024,compra,3000,Ingreso mensual
105,2024/04/18,pago,3000,Retiro parcial
114,10-12-2024,deposito,1500,
105,2024-05-23,compra,-100,Ingreso extra
103,2024/04/03,compra,2500,Retiro parcial
102,23-04-2024,compra,2000,Ingreso navideño
101,2024-06-30,deposito,1500,Ingreso extra
106,2024-01-29,compra,1000,Retiro parcial
105,04-12-2024,compra,1000,
105,27-01-2024,deposito,2000,Retiro parcial
105,16-08-2024,deposito,2500,Ingreso extra
117,2024-08-02,deposito,-100,Compra en tienda
113,29/10/2024,compra,2000,Compra en tienda
104,17/02/2024,depósito,1500,Retiro parcial
118,2024-02-18,deposito,2500,
107,08-05-2024,compra,,Retiro parcial
117,2024/11/17,depósito,1500,Retiro parcial
105,28/11/2024,deposito,1500,Ingreso extra
103,09-05-2024,deposito,-500,Retiro parcial
112,2024/03/15,compra,,Ingreso extra
108,03-09-2024,compra,1000,Retiro parcial
114,2024/10/10,compra,1500,
118,2024/02/07,compra,3000,Ingreso extra
107,2024/12/12,retiro,2000,Ingreso mensual
103,22-04-2024,compra,-100,Compra en tienda
102,16/04/2024,deposito,1500,Ingreso mensual
101,05/09/2024,deposito,2500,Ingreso extra
117,2024-03-01,deposito,3000,Ingreso extra
107,28-08-2024,pago,-500,Retiro parcial
119,2024/05/13,deposito,2000,Ingreso navideño
104,01/10/2024,deposito,-100,
107,2024/06/18,compra,2000,Retiro parcial
112,2024/05/11,pago,1500,Ingreso navideño
101,29-04-2024,deposito,3000,Ingreso extra
107,2024-10-31,retiro,-100,
117,2024-05-21,deposito,1500,Ingreso extra
119,13/02/2024,retiro,3000,Retiro parcial
113,2024/09/13,retiro,,
102,07/03/2024,retiro,2500,Ingreso mensual
106,2024-12-04,retiro,2000,Ingreso extra
116,2024/08/20,deposito,1500,
115,24-10-2024,retiro,1500,
119,11-09-2024,compra,2000,Compra en tienda
112,2024/03/19,depósito,1500,Compra en tienda
119,2024/02/11,deposito,0,Compra en tienda
111,2024-06-29,deposito,2500,Ingreso mensual
115,03-11-2024,compra,1000,Ingreso navideño
101,11/11/2024,compra,1000,Ingreso navideño
113,29-02-2024,deposito,2000,Ingreso navideño
109,24-05-2024,retiro,1000,Retiro parcial
116,11/07/2024,compra,-500,
111,2024-09-26,retiro,-500,Compra en tienda
117,2024/01/13,retiro,1000,Compra en tienda
114,2024/09/23,deposito,-100,Ingreso navideño
113,2024-09-02,depósito,3000,Compra en tienda
108,2024/11/07,retiro,2500,Ingreso extra
113,2024-05-11,compra,2500,
116,2024-06-30,retiro,1000,Ingreso extra
110,13-07-2024,deposito,3000,Ingreso extra
116,27/06/2024,deposito,5000,Ingreso navideño
108,2024/11/14,compra,3000,
118,07-10-2024,compra,3000,Retiro parcial
104,31-05-2024,retiro,1500,Retiro parcial
104,30-08-2024,retiro,-100,
118,04/04/2024,retiro,2000,
116,28/08/2024,deposito,2500,
111,2024/01/18,compra,2500,
116,2024/11/18,retiro,3000,Ingreso extra
103,2024/06/03,compra,-100,Ingreso extra
114,01/09/2024,retiro,2500,
110,2024-11-03,compra,-500,Ingreso mensual
112,12-01-2024,depósito,1500,Ingreso extra
109,2024/06/20,retiro,1000,Retiro parcial
117,20-07-2024,retiro,2500,
119,20/08/2024,deposito,2500,Compra en tienda
110,21/11/2024,retiro,-100,
115,2024/04/08,compra,1000,Ingreso navideño
103,13-09-2024,compra,,
119,2024/04/11,pago,2000,Ingreso extra
101,30-01-2024,depósito,3000,Compra en tienda
116,2024/03/08,compra,2000,Ingreso extra
102,2024-08-13,compra,5000,Retiro parcial
118,14/03/2024,deposito,3000,Retiro parcial
118,2024-04-21,deposito,-500,Ingreso navideño
112,2024/02/08,deposito,-500,
116,2024/07/05,retiro,2000,
115,17/09/2024,compra,2500,
106,15/06/2024,compra,2500,Ingreso navideño
114,2024/10/22,retiro,1500,Retiro parcial
108,2024-12-17,deposito,1000,Retiro parcial
111,2024-10-22,depósito,3000,
108,2024-04-17,retiro,1500,Ingreso extra
111,2024-06-24,compra,1000,
101,2024/06/20,deposito,-100,
104,08-05-2024,deposito,-100,
118,2024/11/08,compra,-500,Ingreso navideño
102,14-01-2024,compra,1500,Retiro parcial
105,2024-03-07,deposito,1000,Ingreso extra
105,26/04/2024,deposito,-500,Ingreso mensual
111,18-04-2024,compra,-100,Ingreso mensual
107,2024/12/14,compra,1500,Retiro parcial
104,2024-08-12,deposito,1000,Ingreso mensual
106,22-11-2024,deposito,2500,Compra en tienda
105,2024-04-29,compra,-100,Ingreso mensual
110,02-07-2024,pago,2500,Compra en tienda
117,13-06-2024,retiro,1500,Ingreso extra
116,13/11/2024,compra,1500,Ingreso extra
104,28/07/2024,deposito,-500,Ingreso navideño
114,05/12/2024,retiro,1500,Compra en tienda
114,2024-11-14,deposito,-100,Ingreso mensual
109,15/05/2024,deposito,2500,Retiro parcial
111,21/07/2024,retiro,1500,Ingreso mensual
106,2024-10-12,compra,1500,Ingreso navideño
119,2024/09/20,compra,2500,Retiro parcial
115,13-04-2024,depósito,3000,Ingreso extra
113,08/11/2024,compra,1500,
111,26-09-2024,retiro,1000,Ingreso mensual
110,2024/08/03,compra,1000,
110,2024-09-09,retiro,-100,Compra en tienda
103,05/06/2024,depósito,-100,Retiro parcial
107,2024-03-19,compra,1000,Ingreso extra
101,2024-08-04,compra,2000,Compra en tienda
